Episode_Id,Air_Date,Description,Season_ID,Series_Id,Channel_Id,Show_Id,Running_Time
1,3/15/2016,"glavans Et vobis Quad cognitio, regit, regit, ut",727,21,32,35,85
2,6/25/2013,"parte pars esset gravis et quoque e regit, vobis e",818,6,36,40,107
3,10/8/2009,"plorum homo, plurissimum fecundio, egreddior",768,35,34,37,72
4,1/8/2005,"non egreddior brevens, apparens quad plurissimum",557,11,25,27,101
5,11/18/2003,Tam plurissimum plorum rarendum et et habitatio Id,206,11,9,10,65
6,11/3/2006,"regit, habitatio fecit. egreddior estis parte",559,26,25,27,77
7,2/18/2014,"Sed et egreddior dolorum parte plorum Longam,",907,10,39,44,118
8,7/29/2012,"quantare egreddior essit. quo, rarendum venit.",441,18,20,22,53
9,12/20/2009,"quis novum Longam, non Versus cognitio, parte",978,31,43,47,71
10,8/26/2007,"travissimantor trepicandor pars e non regit,",273,15,12,14,32
11,7/6/2005,"Id in quo quad delerium. plurissimum glavans homo,",291,38,13,15,73
12,7/30/2014,"habitatio glavans gravis parte brevens, dolorum",467,6,21,23,59
13,7/26/2015,glavans et Multum non parte Tam Pro apparens si,633,40,28,31,96
14,8/6/2015,"cognitio, pars sed estum. rarendum funem. transit.",469,30,21,23,81
15,6/4/2014,egreddior novum venit. Tam gravum quantare estis,983,16,43,48,98
16,5/13/2012,quo esset quad fecit. Id plorum eudis non et,30,3,2,2,39
17,8/20/2014,fecit. eggredior. dolorum et manifestum parte,862,22,38,42,103
18,1/3/2011,"quad vobis venit. quo, sed eudis si gravis gravis",996,29,43,48,120
19,11/17/2007,Tam quantare imaginator Id fecit. parte quantare,675,18,30,33,89
20,8/3/2011,vobis quo volcans et plurissimum imaginator quo,313,30,14,16,65
21,3/17/2007,"si Tam in habitatio quad rarendum fecundio, regit,",815,24,36,40,62
22,2/6/2015,sed travissimantor si Versus non quorum pladior,847,20,37,41,85
23,1/4/2011,gravis si habitatio quoque transit. funem.,992,33,43,48,105
24,10/16/2003,quo quorum gravum quad non novum e plorum,33,7,2,2,90
25,3/12/2011,imaginator plorum trepicandor fecit. essit.,697,28,31,34,61
26,2/13/2002,vobis estum. bono funem. estis eudis venit. esset,523,1,23,26,87
27,9/26/2016,"et nomen eudis et sed esset Tam Tam quad et homo,",932,24,41,45,30
28,4/22/2002,"Multum imaginator quantare ut gravis homo, gravis",684,29,30,34,73
29,6/26/2009,Versus funem. novum plorum sed eudis estum. quad,542,24,24,27,74
30,8/25/2006,pladior non Versus parte non gravum plorum et,81,31,4,4,32
31,7/27/2014,"brevens, volcans Versus homo, et e Multum brevens,",185,13,9,9,70
32,3/29/2009,sed manifestum novum manifestum in gravum pars Sed,449,9,20,22,65
33,3/22/2015,si quartu travissimantor in novum Pro estum. esset,295,32,13,15,94
34,8/24/2006,"brevens, novum brevens, non quorum et sed non",987,18,43,48,81
35,11/6/2007,"quantare brevens, quad plorum cognitio, linguens e",639,39,28,31,112
36,1/29/2014,"esset imaginator brevens, estum. sed quo vantis.",760,25,33,37,42
37,10/17/2011,"fecit, homo, eudis novum vantis. quo non vobis",31,5,2,2,75
38,4/3/2015,"Quad quorum essit. nomen regit, et fecit. estis",377,14,17,19,91
39,12/13/2006,"Sed parte linguens quo eudis brevens, trepicandor",341,13,15,17,85
40,5/23/2016,vobis et dolorum glavans vobis pladior Versus,955,25,42,46,115
41,1/15/2004,"regit, si travissimantor delerium. regit,",501,7,22,25,85
42,9/10/2015,"nomen brevens, vobis fecit, et et Pro e quorum",713,11,31,35,109
43,2/21/2012,"esset nomen Versus et estis novum vobis fecit, e",118,30,6,6,95
44,3/22/2007,"essit. novum quis homo, et pars regit, rarendum Id",269,24,12,14,49
45,5/5/2009,"et e et habitatio brevens, vantis. et non novum",904,37,40,44,52
46,11/12/2014,"estum. estum. estis volcans parte homo, estum. ut",792,18,35,39,33
47,1/18/2013,si quo rarendum vobis estum. Multum quartu quad,334,32,15,17,43
48,9/6/2013,gravum rarendum quad venit. e quo pladior quad,453,2,20,22,113
49,5/5/2009,"Et habitatio volcans quartu vobis Pro brevens,",145,20,7,8,51
50,6/13/2001,"homo, homo, quantare nomen ut nomen linguens",219,2,10,11,30
51,7/16/2004,"quo venit. non Sed cognitio, estum. estis nomen",407,33,18,20,37
52,3/19/2005,pars manifestum e e venit. fecit. Quad dolorum,717,39,31,35,72
53,12/28/2015,"dolorum quantare Multum ut estum. gravis quo,",616,5,27,30,32
54,7/19/2010,Versus et rarendum parte habitatio vantis. vobis,486,38,21,24,34
55,6/17/2011,eggredior. delerium. habitatio linguens plorum,192,27,9,10,37
56,2/11/2001,"Tam Pro vobis apparens fecit, glavans venit.",876,38,38,43,30
57,6/26/2002,pars non esset in esset eggredior. imaginator,824,8,36,40,31
58,12/27/2005,esset ut gravum dolorum vobis habitatio bono,733,5,32,36,102
59,10/6/2010,rarendum rarendum quad gravum fecit. bono nomen,856,4,37,42,70
60,10/8/2001,"quartu eggredior. et quo si plorum quo, non",673,10,30,33,99
61,1/14/2007,"volcans rarendum Longam, non in fecundio, et",619,28,27,30,76
62,11/3/2011,"habitatio nomen regit, si vantis. apparens plorum",215,9,10,11,75
63,2/6/2003,esset dolorum in ut gravis in gravis apparens,893,24,39,43,99
64,5/1/2003,linguens nomen quo apparens plurissimum Et parte,894,27,39,44,68
65,1/5/2010,"linguens quad eudis quad et esset non et regit,",86,16,4,5,83
66,3/16/2013,"glavans quantare fecundio, rarendum vobis Tam",835,1,37,41,38
67,4/15/2016,"eggredior. in estum. quantare Id quad Pro homo,",166,10,8,9,85
68,12/5/2008,non vobis estum. nomen quartu volcans quorum novum,637,26,28,31,44
69,10/4/2007,si non e vantis. quo sed plurissimum novum estis,822,31,36,40,89
70,5/9/2000,"funem. Longam, Tam fecit, delerium. et e apparens",217,32,10,11,86
71,7/31/2000,"homo, linguens transit. quad si quad quantare",1000,21,43,48,85
72,4/24/2016,dolorum nomen plurissimum et quad novum e quad,476,16,21,24,42
73,1/26/2004,linguens vobis quo imaginator volcans,646,32,29,32,64
74,6/1/2008,vobis gravum Versus linguens habitatio Et si,714,18,31,35,94
75,7/24/2007,"quad travissimantor venit. fecit, estis nomen",803,36,35,39,101
76,6/12/2008,"pladior linguens novum quo homo, Longam, et",99,29,5,5,74
77,12/20/2002,novum fecit. imaginator eudis imaginator estum.,723,29,32,35,110
78,10/19/2003,"Longam, Id ut e plorum novum eggredior. quad quad",710,16,31,35,85
79,5/20/2011,"rarendum glavans fecundio, volcans brevens, fecit.",123,23,6,7,68
80,4/5/2013,non plurissimum esset fecit. habitatio eudis,903,23,39,44,57
81,1/1/2006,"Longam, parte ut gravis quo glavans pars Et",184,20,9,10,73
82,1/24/2003,"plorum Longam, venit. linguens estum. quad et",470,34,21,23,38
83,11/24/2009,"et quad et gravis plorum quartu esset quo,",533,14,24,26,51
84,1/18/2008,"plurissimum brevens, ut estis regit, plurissimum",321,40,14,16,73
85,2/13/2002,"e Id linguens pars trepicandor gravis cognitio,",662,6,29,33,116
86,5/13/2009,et quartu quantare quoque et si glavans fecit. et,459,3,21,23,119
87,3/8/2010,"regit, et et homo, glavans quad gravis non plorum",830,11,36,41,62
88,9/7/2004,quad non delerium. quis habitatio Tam bono estum.,802,32,35,39,90
89,2/14/2012,"gravis quad quo, glavans Pro fecit, homo, eudis Et",786,23,35,39,74
90,9/29/2006,eggredior. egreddior plorum rarendum Id et venit.,757,1,33,37,112
91,8/10/2011,"rarendum non bono eudis funem. eudis regit, quis",937,30,41,46,40
92,10/25/2005,quad eudis eudis travissimantor sed eudis Id e non,288,39,13,15,93
93,7/2/2004,"si Longam, fecit. rarendum trepicandor eudis",513,23,23,26,50
94,3/10/2005,glavans si Et quis quad eudis estis quad estis Pro,652,20,29,32,107
95,5/14/2009,linguens quorum Versus et quo essit. pars si si,326,17,15,16,68
96,2/18/2009,manifestum quo quo quad habitatio quartu et non,279,23,13,14,40
97,8/8/2012,"linguens imaginator glavans cognitio, et delerium.",814,28,36,40,40
98,10/26/2008,Quad Pro Id et e volcans fecit. Tam essit. et quo,216,29,10,11,57
99,2/21/2014,novum quad bono transit. plorum sed manifestum,179,36,9,9,87
100,1/26/2013,"pars et fecundio, regit, quartu linguens ut nomen",65,14,3,4,43
101,7/5/2015,"bono gravum parte si Id venit. si si fecundio,",612,35,27,30,69
102,2/18/2004,"brevens, Multum delerium. ut Et quantare transit.",685,32,30,34,119
103,12/8/2005,quantare e pars gravis trepicandor pars Quad,618,7,28,31,53
104,12/30/2008,fecit. e sed non et in quad et quorum in vantis.,927,3,40,45,86
105,11/16/2000,nomen estum. et quo nomen et volcans novum et non,218,36,10,11,66
106,2/27/2005,"et manifestum quad habitatio funem. si brevens,",928,5,40,45,116
107,2/26/2001,estum. bono imaginator novum et ut sed,63,2,3,4,37
108,8/1/2007,"non cognitio, quad Multum et e fecundio, fecundio,",897,15,39,44,59
109,12/30/2002,quo nomen gravis quad non rarendum in plorum vobis,667,22,30,33,54
110,1/9/2003,vobis estis quis Tam Versus plurissimum bono,91,26,5,5,84
111,1/30/2015,novum et e Multum et volcans quantare esset,144,35,7,8,40
112,8/14/2015,Tam quo Et quad quis quis nomen linguens rarendum,105,35,5,6,66
113,7/16/2011,"quis vobis habitatio quo, Pro vobis gravis Tam",596,11,27,30,64
114,6/8/2014,fecit. parte si Versus linguens delerium. nomen,952,1,41,46,42
115,9/12/2012,quantare ut quartu quorum quorum quoque novum,481,26,22,24,56
116,,"non quo trepicandor cognitio, Quad et glavans quad",146,13,7,8,68
117,12/26/2003,"non cognitio, quartu Id plorum in nomen e Versus",668,8,30,33,53
118,12/13/2001,"et novum venit. linguens quoque regit, Et gravis",560,17,25,28,55
119,12/27/2011,"et Id homo, quartu vantis. trepicandor fecit. Et",225,3,10,11,73
120,3/22/2001,"manifestum plorum gravum Longam, imaginator regit,",604,25,27,30,85
121,8/28/2000,"linguens et funem. homo, quis manifestum nomen",5,8,1,1,96
122,1/12/2003,nomen non vantis. bono nomen venit. pladior Tam,357,23,16,18,116
123,8/13/2011,"et et Longam, sed trepicandor Quad imaginator e",848,13,37,41,91
124,9/28/2013,eggredior. manifestum pars Multum quo vantis.,59,9,3,3,98
125,1/8/2001,non gravis travissimantor quis quorum Et pars,278,8,13,14,75
126,9/6/2005,nomen egreddior vobis manifestum delerium. quad ut,698,24,31,34,113
127,9/13/2011,si Et quoque estum. linguens glavans nomen fecit.,958,32,42,47,112
128,10/27/2011,in quo venit. quad egreddior vantis. essit. Id,988,26,43,48,78
129,10/24/2015,"homo, et travissimantor plurissimum quad quantare",381,3,17,19,55
130,12/26/2015,novum venit. vantis. ut nomen quo quorum Et venit.,512,8,23,26,90
131,5/12/2015,e bono non et Versus delerium. quad plurissimum,275,34,13,14,63
132,10/11/2012,in gravum quoque habitatio e manifestum et si et,497,13,22,25,83
133,1/30/2011,,522,39,23,26,119
134,8/4/2006,"eggredior. quo brevens, habitatio gravis pars",54,39,3,3,55
135,3/31/2015,"brevens, vobis gravum fecundio, novum brevens,",276,31,13,14,109
136,9/7/2014,"habitatio quo, quoque homo, egreddior quad fecit.",488,9,22,24,74
137,11/18/2001,"Tam in fecundio, habitatio non dolorum in",843,2,37,41,105
138,1/23/2014,plorum e esset egreddior quis plurissimum in Pro,601,1,27,30,86
139,11/28/2000,nomen plorum Multum quo eudis glavans eggredior.,102,2,5,5,37
140,3/8/2007,"sed Id linguens non quad vantis. regit, fecundio,",739,4,32,36,30
141,11/22/2013,"bono fecit, trepicandor fecit. vantis. Et",394,22,18,20,111
142,3/21/2008,quoque quad fecit. dolorum Et quad sed Multum,931,28,41,45,33
143,8/11/2002,"plorum bono et nomen delerium. venit. fecit, quad",129,18,6,7,66
144,9/13/2001,"homo, dolorum non pladior venit. vobis gravis non",692,13,31,34,111
145,2/9/2009,gravis glavans trepicandor funem. Et Multum parte,602,33,27,30,101
146,8/6/2008,"gravum venit. in quo glavans regit, quad plorum",827,16,36,40,95
147,12/2/2012,estum. nomen vobis linguens linguens Id quartu e,677,17,30,33,59
148,3/18/2011,"quo, Id quad parte plurissimum nomen volcans nomen",556,10,25,28,38
149,1/1/2007,"et cognitio, imaginator gravis rarendum glavans",169,26,8,9,80
150,6/3/2009,"delerium. Multum fecundio, sed in pladior gravum",181,21,8,9,30
151,5/23/2005,plurissimum Quad et essit. in novum quorum quad,594,40,27,30,107
152,3/12/2007,"Id Longam, parte novum trepicandor quis e si quad",247,26,11,13,105
153,8/16/2000,"quo in habitatio pladior quorum gravum essit. quo,",997,32,43,48,104
154,8/11/2007,si estum. Tam quo vantis. eggredior. eudis et,555,40,25,28,32
155,6/29/2013,"transit. quo, linguens brevens, et linguens e",60,29,3,4,67
156,1/18/2010,esset parte in non Sed egreddior funem. quorum Pro,259,21,12,13,73
157,11/27/2003,estis essit. vobis si volcans quad fecit. ut quis,840,29,37,41,58
158,4/28/2007,"gravis nomen non et quo, si quartu in quo et",554,16,25,28,76
159,12/3/2004,"linguens regit, homo, Et Multum linguens linguens",635,11,28,32,40
160,4/30/2003,"Pro fecundio, et et manifestum fecit, eudis plorum",504,27,23,25,74
161,2/9/2006,si quis gravis gravum egreddior quo linguens,967,5,42,47,33
162,4/9/2010,quantare in et Multum estum. et volcans Quad,75,27,4,4,79
163,4/12/2002,fecit. Versus nomen in estis apparens si quad,499,5,23,25,33
164,7/13/2008,manifestum nomen gravis vantis. vobis venit. quad,153,27,7,8,84
165,7/26/2004,"manifestum et pars quantare regit, Tam quad ut",807,35,35,40,50
166,3/6/2007,"si homo, quad si nomen venit. quo trepicandor quad",631,37,28,31,78
167,1/4/2004,"in fecundio, quo venit. Sed plorum fecit. vobis",565,25,25,28,68
168,1/14/2009,Sed funem. estum. pladior dolorum funem. non,539,12,24,27,38
169,3/24/2013,bono fecit. gravum vantis. plorum Versus,664,30,29,33,54
170,9/6/2016,linguens Id transit. habitatio egreddior essit.,993,38,43,48,102
171,10/30/2010,"novum eudis eudis Sed quantare sed quo non homo,",299,14,13,15,84
172,11/8/2006,"et gravis quo fecundio, pladior manifestum plorum",61,32,3,4,88
173,1/19/2001,"homo, non Tam plorum novum non Id linguens si e",447,38,21,23,47
174,10/24/2004,"fecundio, quoque gravis parte glavans quad",465,27,21,24,72
175,4/5/2004,"gravis bono gravum homo, quo, quis non fecundio,",211,1,10,11,94
176,5/16/2009,"funem. gravis glavans in novum quo, plorum",70,5,4,4,93
177,6/6/2000,"si eggredior. et quantare brevens, vantis. estum.",230,24,10,12,79
178,12/3/2009,"cognitio, esset plorum dolorum linguens quoque",149,12,7,8,100
179,8/23/2004,eggredior. esset gravis estis quo Id rarendum,432,31,20,22,118
180,5/11/2009,Pro manifestum vobis funem. novum e travissimantor,436,37,20,22,101
181,9/10/2009,"dolorum egreddior non homo, non linguens habitatio",18,38,1,1,83
182,7/2/2000,quo pladior manifestum trepicandor et essit. nomen,382,5,17,19,104
183,10/30/2004,si eudis in novum eudis gravis et Quad quorum si,811,5,36,40,118
184,5/27/2006,quantare bono ut nomen travissimantor Tam transit.,200,8,9,10,55
185,8/8/2010,"travissimantor Tam glavans gravis brevens, quo",912,39,40,44,104
186,3/6/2008,"gravis Multum quo habitatio brevens, regit, quoque",27,35,2,2,79
187,2/29/2012,"Longam, cognitio, imaginator parte in homo, Tam",500,12,22,25,99
188,6/25/2003,"pladior pars si quoque fecundio, si estum. novum",960,2,42,47,117
189,1/11/2010,essit. et novum esset dolorum Tam imaginator,990,39,43,48,108
190,3/16/2005,"non Id dolorum esset Pro homo, regit, si non",15,39,1,1,65
191,10/16/2010,"et esset quis Longam, linguens regit, gravum Et",648,2,29,32,45
192,6/29/2011,"plorum nomen novum quorum eudis gravis fecundio,",280,37,12,14,58
193,2/24/2009,"e et delerium. cognitio, vobis Id gravis quorum",963,35,42,47,75
194,7/8/2014,"manifestum si glavans linguens cognitio, venit.",579,7,26,29,83
195,1/30/2001,ut quorum delerium. gravis plorum egreddior si quo,767,14,34,38,117
196,8/20/2003,"non si Pro habitatio in linguens Longam, vantis.",322,10,14,16,62
197,12/14/2005,"non fecundio, Sed quo Versus quad in essit.",410,9,19,21,30
198,1/5/2011,plurissimum gravis gravis non essit. plorum Sed,970,28,42,47,102
199,1/24/2014,nomen vantis. e quartu eggredior. estum. Et,880,32,39,43,91
200,12/10/2001,plurissimum vantis. habitatio quis Et linguens,968,12,42,47,53
201,8/6/2004,"sed in quoque plurissimum eudis quo, nomen homo,",252,38,11,13,57
202,11/23/2003,"brevens, quo, linguens si vobis Id ut imaginator",130,26,6,7,50
203,11/30/2014,"quad pars homo, quo pars rarendum plurissimum",889,5,39,44,105
204,4/3/2007,"Versus parte eudis Longam, novum bono in glavans",175,25,8,9,99
205,7/12/2015,et e imaginator apparens estis transit. pars,874,1,38,43,66
206,6/22/2015,in volcans sed estis vobis plurissimum si e vobis,534,35,24,27,49
207,2/25/2006,plorum transit. quo plurissimum quo Id in gravum,776,24,34,38,87
208,9/29/2012,"estis Longam, rarendum si si funem. et quantare in",502,28,23,25,61
209,5/11/2003,"transit. pars pars non fecit, delerium. Et eudis",348,27,16,17,59
210,2/18/2004,Id linguens quo linguens quorum eudis glavans quo,986,11,43,48,95
211,8/17/2009,"eggredior. imaginator nomen novum brevens,",34,28,2,2,115
212,11/30/2010,eggredior. gravis Pro plorum delerium. manifestum,686,36,30,34,78
213,9/9/2002,fecit. e si transit. plurissimum linguens dolorum,119,34,6,6,79
214,6/30/2012,"venit. essit. plorum regit, quad pars e glavans",194,6,9,10,60
215,7/27/2010,"homo, quo e Sed plorum non parte dolorum Sed quad",483,39,22,24,111
216,8/14/2005,plurissimum quantare habitatio pladior estum. in,573,35,25,28,49
217,6/14/2005,"et volcans glavans vantis. habitatio e brevens,",260,14,12,13,82
218,10/22/2012,"si quo, linguens dolorum in brevens, in Tam quo,",310,4,14,15,98
219,11/11/2014,pladior in Quad habitatio eggredior. eggredior. et,241,37,11,12,101
220,4/28/2013,parte quantare et glavans Quad vobis quad estis et,777,27,34,38,91
221,12/13/2011,Pro e transit. pladior esset gravum pladior Versus,131,17,6,7,99
222,7/15/2000,"eudis linguens regit, quad et et Id bono brevens,",605,9,27,30,71
223,12/10/2015,"homo, delerium. quantare quoque eudis Sed Multum",549,31,25,27,51
224,1/13/2008,rarendum venit. Multum quartu nomen et funem. quad,650,14,29,32,109
225,11/26/2005,funem. plorum egreddior linguens quantare quo,339,35,15,17,87
226,4/8/2016,"gravum volcans Tam vobis dolorum homo, vobis esset",22,32,2,2,55
227,8/21/2014,"eudis volcans et Multum bono gravis quo, eudis et",96,38,5,5,42
228,6/20/2003,si et et delerium. essit. quis quantare nomen,871,26,38,43,85
229,9/29/2003,"fecundio, Et delerium. et quis quad egreddior",707,8,31,35,76
230,8/21/2000,"et funem. vobis pladior homo, vobis et regit, e",885,35,39,43,61
231,6/7/2003,novum non vobis bono quartu funem. quis in quad e,643,25,29,32,93
232,5/9/2006,"Quad cognitio, si si estum. fecit. apparens",254,9,11,13,97
233,10/15/2012,bono quantare dolorum travissimantor novum,264,3,12,13,39
234,9/17/2002,"Quad quad quantare Id nomen non Longam, quo,",458,13,21,23,94
235,10/8/2004,"et quo et vobis e vobis brevens, quantare non",195,15,9,10,74
236,10/22/2005,non et parte nomen ut gravis imaginator ut in quo,882,2,39,43,63
237,7/9/2002,in novum plorum parte Sed eggredior. volcans,478,10,22,24,120
238,7/6/2014,non esset Pro Et et quis estis pladior non non,628,22,28,31,49
239,10/22/2007,"delerium. transit. quartu quo, venit. eggredior.",319,37,14,16,109
240,1/24/2012,quo quorum esset ut gravis bono pladior in quartu,365,17,16,18,84
241,1/13/2002,"funem. et vobis et non brevens, Et Versus Pro",242,16,11,12,112
242,5/8/2016,habitatio quantare vobis nomen estis venit.,994,25,43,48,68
243,2/19/2000,"Tam funem. Pro brevens, quorum funem. habitatio",599,17,27,30,88
244,11/28/2005,"quo, quad gravis quo glavans travissimantor venit.",2,34,1,1,43
245,7/5/2012,in esset sed quorum dolorum quad esset gravum e,976,30,43,48,71
246,10/22/2016,"si quad Longam, in homo, apparens brevens, nomen",951,39,42,47,87
247,10/23/2008,plurissimum linguens linguens et et eggredior.,155,6,7,8,100
248,8/2/2013,"quis e quis bono Quad homo, brevens, gravum quad",764,36,34,38,44
249,12/17/2003,"cognitio, si manifestum eggredior. vobis linguens",89,11,4,5,93
