Series_Id,WatchList_Id,User_Id
1,30,81
1,34,987
1,61,619
1,109,667
1,116,146
1,126,698
1,189,990
1,192,280
1,233,264
1,336,352
1,353,503
1,390,568
1,406,390
1,414,190
1,518,979
1,522,55
1,623,186
1,626,345
1,652,83
1,693,384
1,700,705
1,787,1
1,809,253
1,825,842
1,888,274
1,957,869
2,33,295
2,52,717
2,90,757
2,163,499
2,188,960
2,190,15
2,241,242
2,244,2
2,268,640
2,352,902
2,367,109
2,375,367
2,389,496
2,394,156
2,436,576
2,457,980
2,524,647
2,653,485
2,655,905
2,683,237
2,685,78
2,730,971
2,808,679
2,865,24
2,893,6
2,945,208
3,27,932
3,45,904
3,56,876
3,81,184
3,137,843
3,151,594
3,214,194
3,220,777
3,274,864
3,339,402
3,384,142
3,431,838
3,444,158
3,564,636
3,597,304
3,660,887
3,677,94
3,690,393
3,711,196
3,718,126
3,719,180
3,729,460
3,762,782
3,822,135
3,897,335
4,21,815
4,31,185
4,32,449
4,87,830
4,99,179
4,178,149
4,246,951
4,254,103
4,258,244
4,270,593
4,317,117
4,331,938
4,340,380
4,442,47
4,448,919
4,481,913
4,555,148
4,654,214
4,701,747
4,702,490
4,705,281
4,706,709
4,846,892
4,953,507
4,963,607
5,22,847
5,107,63
5,113,596
5,114,952
5,157,840
5,185,912
5,217,260
5,266,769
5,318,285
5,342,660
5,346,294
5,351,209
5,437,744
5,456,84
5,462,330
5,500,766
5,556,863
5,589,134
5,590,489
5,630,716
5,667,440
5,753,454
5,812,873
5,877,752
5,905,28
6,13,633
6,20,313
6,60,673
6,146,827
6,154,555
6,186,27
6,264,444
6,349,448
6,377,659
6,400,121
6,487,545
6,496,651
6,569,302
6,579,464
6,588,798
6,611,519
6,632,261
6,669,11
6,708,682
6,723,383
6,747,563
6,751,307
6,785,695
6,940,139
6,944,826
7,95,326
7,142,931
7,144,692
7,181,18
7,210,986
7,213,119
7,295,916
7,330,201
7,415,93
7,420,719
7,464,933
7,471,369
7,476,387
7,583,706
7,585,100
7,645,975
7,796,406
7,805,550
7,867,571
7,871,124
7,908,451
7,923,829
7,929,25
7,930,867
7,990,810
8,29,542
8,41,501
8,117,668
8,177,230
8,206,534
8,262,901
8,269,999
8,319,624
8,357,477
8,396,820
8,413,783
8,475,722
8,489,734
8,533,765
8,544,442
8,547,416
8,553,895
8,608,399
8,695,359
8,759,740
8,823,570
8,915,989
8,959,223
8,961,374
8,967,351
8,968,199
9,49,145
9,70,217
9,103,618
9,104,927
9,122,357
9,152,247
9,187,500
9,216,573
9,237,478
9,263,791
9,313,562
9,327,813
9,356,262
9,424,39
9,483,649
9,493,171
9,561,891
9,614,691
9,703,804
9,742,38
9,789,934
9,843,389
9,845,472
9,856,21
9,906,741
9,995,995
10,2,818
10,121,5
10,145,602
10,265,342
10,273,982
10,298,147
10,300,203
10,307,115
10,401,174
10,517,681
10,606,385
10,631,816
10,638,732
10,681,398
10,775,293
10,790,821
10,802,68
10,821,736
10,863,29
10,870,543
10,874,336
10,879,16
10,922,361
10,954,977
10,958,182
10,984,411
11,12,467
11,67,166
11,174,465
11,219,241
11,236,882
11,286,526
11,291,311
11,379,515
11,451,305
11,506,13
11,534,282
11,558,878
11,565,85
11,577,318
11,580,899
11,672,910
11,704,267
11,737,397
11,779,400
11,786,434
11,828,8
11,841,455
11,872,425
11,976,417
11,979,388
11,988,314
12,25,697
12,53,616
12,77,723
12,82,470
12,91,937
12,96,279
12,97,814
12,106,928
12,159,635
12,169,664
12,199,880
12,272,611
12,290,538
12,359,176
12,422,77
12,449,49
12,537,220
12,661,340
12,696,95
12,766,726
12,769,325
12,873,245
12,924,362
12,960,375
12,1000,875
13,7,907
13,63,893
13,64,894
13,138,601
13,229,707
13,253,731
13,371,561
13,405,228
13,443,536
13,485,227
13,492,52
13,542,450
13,592,329
13,620,172
13,637,461
13,650,37
13,663,249
13,689,43
13,691,795
13,791,779
13,827,586
13,834,898
13,866,23
13,912,309
13,991,888
14,35,639
14,37,31
14,43,118
14,86,459
14,129,381
14,131,275
14,132,497
14,303,762
14,373,859
14,382,456
14,472,283
14,473,823
14,519,694
14,523,626
14,531,163
14,532,918
14,657,930
14,659,343
14,670,316
14,755,168
14,763,205
14,765,268
14,829,638
14,853,728
14,927,564
15,14,469
15,17,862
15,100,65
15,160,504
15,193,963
15,209,348
15,249,89
15,259,831
15,335,837
15,341,405
15,370,629
15,423,583
15,445,957
15,458,689
15,490,712
15,509,721
15,568,308
15,587,19
15,591,427
15,656,272
15,668,413
15,710,886
15,767,763
15,774,805
15,982,688
16,23,992
16,28,684
16,153,997
16,176,70
16,235,195
16,261,433
16,277,3
16,278,544
16,334,446
16,387,328
16,441,981
16,459,45
16,480,323
16,586,914
16,644,122
16,744,143
16,756,839
16,793,256
16,826,463
16,858,656
16,886,745
16,889,157
16,917,703
16,948,164
16,956,152
16,994,749
17,94,652
17,127,958
17,168,539
17,271,87
17,275,525
17,288,161
17,312,14
17,348,337
17,358,320
17,366,773
17,425,771
17,469,363
17,508,71
17,536,866
17,613,376
17,616,266
17,732,431
17,746,915
17,758,202
17,764,198
17,817,317
17,836,4
17,868,879
17,926,834
17,941,41
17,993,625
18,51,407
18,164,153
18,226,22
18,304,462
18,323,12
18,381,151
18,407,42
18,426,347
18,454,429
18,467,487
18,539,537
18,543,720
18,572,532
18,658,350
18,676,10
18,694,753
18,738,972
18,757,116
18,776,484
18,819,509
18,850,107
18,878,327
18,900,528
18,946,300
18,951,936
18,981,289
20,50,219
20,80,903
20,83,533
20,166,631
20,200,968
20,325,297
20,376,581
20,378,72
20,380,991
20,419,371
20,452,998
20,515,956
20,520,674
20,549,69
20,602,125
20,651,615
20,679,787
20,684,133
20,745,224
20,748,418
20,795,197
20,901,409
20,928,590
20,971,575
20,980,959
21,9,978
21,18,996
21,93,513
21,147,677
21,171,299
21,296,333
21,338,303
21,361,606
21,374,231
21,429,445
21,514,715
21,540,210
21,541,665
21,548,430
21,550,949
21,581,860
21,618,213
21,687,730
21,697,355
21,726,653
21,777,511
21,831,658
21,875,344
21,894,725
21,918,641
21,931,112
22,3,768
22,5,206
22,118,560
22,120,604
22,134,54
22,139,102
22,156,259
22,224,650
22,283,775
22,292,248
22,388,32
22,409,466
22,440,577
22,470,505
22,504,510
22,546,17
22,557,379
22,570,90
22,628,784
22,709,167
22,784,292
22,880,947
22,909,850
22,942,250
22,949,852
22,962,373
23,11,291
23,75,803
23,238,628
23,250,189
23,252,110
23,285,819
23,289,623
23,321,255
23,365,746
23,368,92
23,404,817
23,427,702
23,434,396
23,477,521
23,559,584
23,563,162
23,609,945
23,666,287
23,682,234
23,716,127
23,778,258
23,806,473
23,820,797
23,842,360
23,848,64
23,904,207
24,6,559
24,36,760
24,98,216
24,172,61
24,247,155
24,343,589
24,397,743
24,450,642
24,484,809
24,527,104
24,551,961
24,575,7
24,596,286
24,627,44
24,639,678
24,648,808
24,680,392
24,714,946
24,771,711
24,794,271
24,854,98
24,860,26
24,885,770
24,933,79
24,999,655
25,76,99
25,85,662
25,194,579
25,211,34
25,234,458
25,248,764
25,306,420
25,466,178
25,488,424
25,491,578
25,529,896
25,545,154
25,617,661
25,629,177
25,675,51
25,731,663
25,733,114
25,749,277
25,752,236
25,814,140
25,844,296
25,861,921
25,911,312
25,919,671
25,938,173
25,969,585
26,10,273
26,47,334
26,66,835
26,124,59
26,155,60
26,256,634
26,297,188
26,314,435
26,332,845
26,354,855
26,438,232
26,461,696
26,474,778
26,479,67
26,502,40
26,512,553
26,526,306
26,584,940
26,633,754
26,664,240
26,674,828
26,717,780
26,724,595
26,852,923
26,913,693
26,937,165
27,46,792
27,79,123
27,280,372
27,328,518
27,337,540
27,347,680
27,494,35
27,510,257
27,511,546
27,552,238
27,593,480
27,598,66
27,622,953
27,643,861
27,720,428
27,725,482
27,750,243
27,760,617
27,788,644
27,803,128
27,887,620
27,939,582
27,952,825
27,972,750
27,997,964
28,15,983
28,39,341
28,40,955
28,105,218
28,112,105
28,115,481
28,140,739
28,293,789
28,294,439
28,350,785
28,355,942
28,364,354
28,530,73
28,594,610
28,640,700
28,646,222
28,665,183
28,699,939
28,707,547
28,728,755
28,799,911
28,883,338
28,899,301
28,974,751
28,987,676
29,16,30
29,133,522
29,141,394
29,179,432
29,204,175
29,230,885
29,383,53
29,385,974
29,439,922
29,573,395
29,601,233
29,603,150
29,641,101
29,642,574
29,673,517
29,734,82
29,761,187
29,781,74
29,782,88
29,801,141
29,815,551
29,833,358
29,869,737
29,884,531
29,890,422
29,975,423
30,38,377
30,48,453
30,71,1000
30,74,714
30,123,848
30,165,807
30,195,767
30,240,365
30,322,265
30,363,900
30,416,132
30,417,516
30,535,378
30,560,926
30,562,353
30,621,598
30,727,514
30,797,857
30,804,683
30,840,204
30,849,729
30,851,106
30,864,368
30,902,608
30,914,950
30,955,76
31,44,269
31,69,822
31,111,144
31,135,276
31,136,488
31,143,129
31,184,200
31,191,648
31,257,566
31,281,858
31,287,508
31,369,600
31,408,284
31,478,401
31,495,881
31,528,781
31,582,622
31,604,969
31,635,672
31,713,558
31,768,468
31,798,212
31,855,788
31,921,457
31,970,699
31,985,984
32,65,86
32,68,637
32,78,710
32,102,685
32,149,169
32,182,382
32,205,874
32,222,605
32,260,853
32,305,97
32,308,854
32,403,724
32,446,421
32,455,670
32,595,298
32,619,530
32,634,954
32,671,756
32,712,870
32,800,493
32,847,419
32,859,849
32,896,588
32,916,491
32,947,841
32,964,50
33,4,557
33,42,713
33,54,486
33,58,733
33,92,288
33,101,612
33,108,897
33,125,278
33,162,75
33,180,436
33,202,130
33,227,96
33,326,836
33,344,924
33,392,221
33,421,437
33,447,412
33,507,160
33,538,113
33,647,935
33,686,735
33,857,569
33,862,962
33,876,391
33,943,567
33,950,941
34,19,675
34,26,523
34,88,802
34,173,447
34,183,811
34,221,131
34,225,339
34,267,415
34,301,520
34,345,908
34,386,36
34,410,356
34,430,535
34,435,806
34,501,929
34,503,527
34,505,246
34,525,925
34,554,948
34,721,529
34,736,883
34,818,944
34,838,844
34,882,524
34,903,404
34,973,270
35,72,476
35,84,321
35,203,889
35,218,310
35,239,319
35,282,324
35,362,580
35,393,111
35,395,759
35,402,572
35,433,909
35,460,877
35,468,370
35,516,920
35,605,263
35,607,800
35,615,56
35,692,138
35,770,592
35,811,346
35,835,414
35,881,57
35,892,364
35,932,794
35,965,443
36,57,824
36,73,646
36,128,988
36,198,970
36,215,483
36,223,549
36,231,643
36,302,492
36,310,701
36,315,985
36,333,890
36,360,251
36,399,170
36,432,408
36,482,758
36,566,614
36,578,159
36,612,239
36,735,645
36,739,846
36,772,812
36,783,495
36,837,966
36,935,669
36,992,108
36,998,772
37,1,727
37,24,33
37,59,856
37,130,512
37,167,565
37,207,776
37,242,994
37,316,120
37,320,793
37,329,943
37,372,801
37,418,748
37,463,799
37,499,630
37,567,761
37,576,137
37,624,774
37,662,20
37,688,548
37,715,474
37,722,906
37,743,386
37,792,226
37,816,46
37,895,331
37,907,790
38,110,91
38,119,225
38,150,181
38,201,252
38,212,686
38,276,136
38,279,666
38,284,506
38,311,632
38,391,851
38,398,235
38,412,403
38,428,708
38,465,494
38,574,452
38,600,498
38,625,621
38,636,738
38,740,349
38,824,475
38,832,332
38,925,80
38,966,718
38,977,973
38,989,868
38,996,884
39,55,192
39,62,215
39,89,786
39,158,554
39,161,967
39,197,410
39,228,871
39,245,976
39,299,657
39,309,552
39,486,832
39,497,229
39,498,597
39,513,609
39,649,541
39,678,62
39,773,290
39,780,587
39,810,690
39,813,796
39,839,742
39,891,471
39,898,48
39,936,591
39,983,917
39,986,704
40,8,441
40,148,556
40,170,993
40,175,211
40,196,322
40,208,502
40,232,254
40,243,599
40,251,58
40,255,833
40,324,426
40,411,603
40,453,865
40,521,613
40,571,687
40,599,366
40,610,9
40,698,627
40,741,193
40,754,479
40,807,965
40,830,872
40,910,438
40,920,315
40,934,654
40,978,191
